Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
seyahat engeli olmayan aktif araç kullanabilen,seyahat engel olmayan aktif araç kullan,3,0
ingilizce seviyesini ölçmek mülakat yapılacaktır,ingilizce seviye ölç mülakat yap,1,0
DEA PC-DMIS programını bilen,DEA PC-DMIS program bil,1,1
minimum 3 yıl 3D CMM ölçüm cihazı kullanmış,minimum 3 yıl 3D CMM ölçü cihaz kullan,3,-1
gerekli durumlarda vardiyalı çalışabilecek,gerekli durum vardiya çalış,2,0
erkek adaylar askerliğini yapmış,erkek aday asker yap,1,0
sektöründe öncü firmamıza kalite birimi nde çalışmak aşağıda belirtilen süreçlerden sorumlu olacak takım arkadaşı aramaktayız,sektör öncü firma kalite birim ' n çalış aşağı belirt süreç sorumlu ol tak arkadaş ara,2,0
tercihen güzel sanatlar fakültesi mezunu,tercihen güzel sanat fakülte mezun,1,1
mağazacılık görsel düzenleme vitrin uygulamalarında 3 yıl deneyimli,mağazacılık görsel düzenle vitir uygula 3 yıl deneyim,1,0
modayı takip yaratıcı düşünceye sahip,moda takip yarat düşünce sahip,5,0
dikkatli düzenli çalışmayı prensip edinmiş,dikkatli düzenli çalış prensip edin,2,0
MS ofis programlarına hakim,ms ofis program hakim,1,1
etkin iletişim problem çözme becerilerine sahip,etkin iletişim problem çöz beceri sahip,5,0
ürün yerleşimi düzenlenmesi konusunda yetkin,ürün yerleşim düzenle konu yetkin,1,0
windows uygulamalarına hakim,windows uygula hakim,1,1
istatistik yapabilecek,istatistik yap,1,0
lüks marka mağazacılıkta yönetici pozisyonunda deneyimli,lüks mark mağazacılık yönet pozisyon deneyim,1,1
nebim V3 programına hakim,nebi V3 program hakim,1,1
planlama organizasyon becerileri güçlü,planla organizasyon beceri güçlü,1,1
ekip yönetmek konusunda başarılı,ekip yönet konu başarı,1,0
iletişim becerileri insan ilişkileri kuvvetli,iletişim beceri insan ilişki kuvvet,1,1
ikna kabiliyeti yüksek,ikna kabiliyet yüksek,1,1
müşteri memnuniyetini hedef alan satış odaklı,müşteri memnuniyet hedef al satış odak,1,1
kişisel bakımına özen gösteren,kişisel bakım özen göster,1,1
ingilizce bilen,ingilizce bil,1,1
askerliğini yapmış askerlik sorunu olmayan,asker yap asker soru olmayan,1,0
bilgisayar donanımları windows uygulamalarında bilgi sahibi,bilgisayar donanım windows uygula bilgi sahip,5,0
çağrı merkezi alanında 1 yıllık deneyimi olan,çağrı merkezi alan 1 yıllık deney olan,4,0
teknolojiye ilgi duyan geliştiren,teknoloji ilgi duy geliştir,1,1
yoğun iş temposunda çalışabilecek,yoğun iş tempo çalış,2,0
askerlik görevini tamamlamış erkek adaylar,asker görev tamamla erkek aday,1,1
müşteri hizmet odaklı çalışma yetkinliğine sahip,müşteri hizmet odak çalış yetkin sahip,5,0
akıcı doğru türkçe konuşabilen diksiyonu düzgün,ak doğru türk konuş diksiyon düzgün,1,1
planlı programlı çalışan,plan program çalış,2,0
tercihen ingilizce rusça bilen,tercihen ingilizce rusça bil,1,1
ingilizce yazma konuşma iyi düzeyde olmalı,ingilizce yazma konuş iyi düzey ol,1,1
7 yıl iş deneyimi olmalı,7 yıl iş deney ol,1,0
ingiltere marketi çalışmış tercih sebebidir,ingiltere market çalış tercih sebep,2,0
korteks yazılım sistemi kullanılması tercih sebebidir,korteks yazılı sistem kullan tercih sebep,3,0
tekirdağ merkezde muratlı ilçesinde oturanoturabilecek olan,tekirdağ merkez muratlı ilçe otur otur olan,4,0
dijital ehliyeti psikoteknik gerekli olan belgeleri bulunan,dijital ehliyet psikoteknik gerekli olan belge bulun,4,0
ADR konusunda bilgili kapsamda yük taşıması yapmış,ADR konu bilgi kapsam yük taşı yap,1,3
sağlık problemi olmayan,sağlık problem olmayan,1,1
dikkatli sorumluluk bilinci yüksek,dikkatli sorumluluk bilinç yüksek,1,1
askerlik hizmetini tamamlamış adayların başvuruları beklenmektedir,asker hizmet tamamla aday başvuru bek,1,1
üniversitelerin anaokulu öğretmenliği,üniversite ' anaokulu öğretmen ',1,1
çocuk gelişimive eğitimi okul öncesi öğretmenliği bölümlerinden mezun,' çocuk gelişimive eğitim ' ' okul önce öğretmen ' bölüm mezun,1,1
tercihen alanında 2-5 yıl tecrübeli,tercihen alan 2-5 yıl tecrübe,1,0
müfredat alan bilgisine hakim,müfredat al bilgi hakim,1,1
bireysel mesleki gelişimi önemseyen,bireysel mesleki gelişim önemse,1,1
çocuk odaklı çalışabilecek örnek oluşturacak,çocuk odak çalış örnek oluş,2,0
takım çalışması becerisine sahip,tak çalış beceri sahip,5,0
birlikte çalıştığı arkadaşlarının gelişimine katkı sağlayabilecek,birlikte çalış arkadaş gelişim katkı sağla,2,0
zaman bakımlı güler yüzlü olabilecek,zaman bakım gül yüz ol,1,1
işini severek,iş sev,1,1
performans odaklı çalışabilecek,performans odak çalış,2,0
bursada ikamet edenedebilecek,bursa ikamet et et,0,0
inşaat taahhüt sektöründe 5 yıl finans müdürlüğü yapmış,inşaat taahhüt sektör 5 yıl finans müdür yap,1,0
bankacılık deneyimi olan,banka deney olan,4,0
finansal bilgilerin sağlanması yorumlanması konusunda bilgili,finansal bilgi sağ yorumla konu bilgi,1,0
bütce fon yönetimine hakim,bütce fon yönetim hakim,1,1
erkek adaylar askerlikle ilişiği olmayan,erkek aday asker ilişik olmayan,1,1
lisans lisans mezunu,lisans lisans mezun,1,1
ms office programlarını aktif kullanabilen,ms office program aktif kullan,3,0
insan ilişkileri kuvvetli diksiyonu düzgün,insan ilişki kuvvet diksiyon düzgün,1,1
organizasyon becerisi gelişmiş,organizasyon beceri geliş,1,1
dış görünüme önem veren,dış görünüm önem ver,1,1
muhasebe alanında minimum 2 yıllık tecrübeye sahip,muhasebe alan minimum 2 yıllık tecrübe sahip,5,0
ERP tecrübesi olan,ERP tecrübe olan,4,0
sonuç odaklı çalışabilen,sonuç odak çalış,2,0
detaylara özen gösterenanalitik düşünebilentitiz disiplinli çalışabilen,detay özen göster analitik düşün titiz disiplin çalış,2,0
sorumluluk bilinci yüksek,sorumluluk bilinç yüksek,1,1
fakültelerin sağlık bölümlerinden mezun,fakülte sağlık bölüm mezun,1,1
tercihen 1-2 yıl sterilizasyon tecrübesi olan,tercihen 1-2 yıl sterilizasyon tecrübe olan,4,0
takım çalışmasına uygun,tak çalış uygun,2,0
4 yıllık üniversite mezunu,4 yıllık üniversite mezun,1,1
kurumu vizyonunu temsil yeteneği güçlü,kur vizyon temsil yetenek güçlü,1,1
yenilikçi başarma arzusu yüksek,yenilik başar arzu yüksek,1,1
elektrik elektronik bilgisayar teknisyeni arayışımız mevcuttur,elektrik elektronik bilgisayar teknisyen ara mevcut,1,1
elektrik elektronik bilgisayar teknikeri arayışımız mevcuttur,elektrik elektronik bilgisayar tekniker ara mevcut,1,1
ehliyeti olan,ehliyet olan,4,0
seyahat problemi olmayan,seyahat problem olmayan,1,1
alanda 5 yıl üzeri tecrübesi bulunan,ala 5 yıl üzer tecrübe bulun,1,0
banner logo yapabilecek düzeyde,banner logo yap düzey,1,0
ürün fotoğraf çekimlerine destek olabilecek,ürün fotoğraf çekim destek ol,1,1
firma web sitelerinin sosyal medya hesaplarının geliştirilmesi yönetimini sağlanması,firma web site sosyal medya hesap geliştir yönetim sağ,1,1
sosyal medyadijital pazarlamae-ticaret yönetimini kurgulayarak yönetilmesi,sosyal medya dijital pazarla e-ticaret yönetim kurgula yönet,1,1
2 yıl pozisyonda deneyimli,2 yıl pozisyon deneyim,1,0
ms office programlarını etkin kullanabilen,ms office program etkin kullan,3,0
sonuç odaklı analitik,sonuç odak analitik,1,1
sorun çözme becerisine sahip,sor çöz beceri sahip,5,0
uluslararası seyahat engeli olmamak yoğun seyahat edebilmek,uluslararası seyahat engel ol yoğun seyahat et,0,0
istanbul karamanda ikamet edenedecek,istanbul karaman ikamet et et,0,0
erkek adaylar askerlik hizmetini tamamlamış,erkek aday asker hizmet tamamla,1,1
lise mezunu tercihen üniversite mezunu,lise mezun tercihen üniversite mezun,1,1
mağazacılık sektöründe 2 yıl deneyimli,mağazacılık sektör 2 yıl deneyim,1,0
dış görünüşüne kişisel bakımına özen gösteren,dış görünüş kişisel bakım özen göster,1,1
müşteri beklentilerini iyi algılayacak,müşteri beklenti iyi algıla,1,1
sürekli müşteri memnuniyetini sağlayacak,sürekli müşteri memnuniyet sağla,1,1
25-35 yaş aralığında baybayan,25-35 yaş aralık bay bayan,1,1
hasta haklarına memnuniyetine önem veren,hasta hak memnuniyet önem ver,1,1
öğrenmeye açık sorumluluk sahibi ekip çalışmasına yatkın,öğren açık sorumluluk sahip ekip çalış yatkın,5,0
organizasyon koordinasyon becerisi gelişmiş,organizasyon koordinasyon beceri geliş,1,1
etkili zaman yönetimi yapabilen,etki zaman yönet yap,1,0
etkin hızlı karar verebilen,etkin hızlı karar ver,1,1
planlama uygulama becerilerine sahip,planla uygula beceri sahip,5,0
mesleki gelişime yeniliklere değişime açık,mesleki gelişim yenilik değişim açık,1,1
yoğun iş temposuna alışık,yoğun iş tempo alışık,1,1
sigara kullanmayan,sigar kullan,3,0
3 yıl benzer alanda tecrübesi olan,3 yıl benzer ala tecrübe olan,4,0
marmara ege doğu anadolu bölgesinde çalışabilecek olan,marmara ege doğu anadol bölge çalış olan,4,0
projeli üretim yapan firmalarda kalite kontrol yöneticili konusunda  tercihen otomoasyon talaşlı imalat alüminyum imalat kaynaklı imalat sac işleme boya montaj süreçlerinin tümünün bulunduğu asgari  5 yıl deneyimi olan,proje üretim yap firma kalite kontrol yönet konu tercihen otomoasyon talaş imalat alüminyum imalat kaynak imalat sac işle boya montaj süreç tüm bulun asgari 5 yıl deney olan,1,-1
iyi derecede bilgisayar kullanabilen,iyi derece bilgisayar kullan,3,0
teknik resim okuyabilen,teknik resim oku,1,1
yapı inşaat malzeme bilgisine hakim,yapı inşaat malzeme bilgi hakim,1,1
ekibini oluşturup,ekip oluş,1,1
sistemini departmanını kurabilecek,sistem departman kur,1,1
nebim programını bilen,nebi program bil,1,1
marka standartlarını detaylarıyla bilirim,mark standart detay bil,1,1
istisnasız uyarım,istisna uy,1,1
ekibime öğretir,ekip öğret,1,1
takip ederim,takip et,0,0
büyüyen organizasyonumuzda başarımıza başarı katacak yeni yöneticiler yetiştirmekten gurur duyarım,büyü organizasyon başar başar kat yeni yönet yetiş gurur duy,1,1
restoran yöneticiliği görevini yürüttüm,restoran yönet görev yürüt,1,1
tercihen üniversite MYO mezunu,tercihen üniversite myo mezun,1,1
iş takibi kontrolü yapabilecek,iş takip kontrol yap,1,0
5 yıl benzer pozisyonda tecrübeli,5 yıl benzer pozisyon tecrübe,1,0
muhasebe muhasebe çalışma sistemini bilen,muhasebe muhasebe çalış sistem bil,2,0
esnek çalışma saatlerine uyabilecek,esnek çalış saat uy,2,0
erkek adaylar askerlik görevini tamamlamış olmaları gerekmekte,erkek aday asker görev tamamla ol gerek,1,1
esnek yoğun çalışma saatlerine uyum sağlayabilecek,esnek yoğun çalış saat uyum sağla,2,0
takım arkadaşları aranmaktadır,tak arkadaş aran,1,1
ofis ortamında çalışmış,ofis ortam çalış,2,0
kasa stok banka işlerine hakim,kas stok bank iş hakim,1,1
dönemsel aylık yıllık bilanço gelir tablolarının hazırlayabilen,dönem aylık yıllık bilanço gel tablo hazırla,1,1
ingilizce arapça  bilen,ingilizce arapça bil,1,1
alanlarda 3 yıl tecrübeli,alan 3 yıl tecrübe,1,0
SCCM sertifikası olan alanda deneyim sahibi,SCCM sertifika olan ala dene sahip,5,0
iyi düzeyde ingilizce bilen aktif kullanabilen,iyi düzey ingilizce bil aktif kullan,3,0
MCSE sertifikalara sahip,MCSE sertifika sahip,5,0
iletişim becerisi yüksek diksiyonu düzgün,iletişim beceri yüksek diksiyon düzgün,1,1
üniversitelerin lisans bölümlerinden mezun,üniversite lisans bölüm mezun,1,1
ERP pojelerinde test uzmanı 2 yıl tecrübeli,ERP pojelerinde test uzma 2 yıl tecrübe,1,0
analitik matematiksel düşünme yönü kuvvetli,analitik matematik düşün yön kuvvet,1,1
detay odaklı çalışan,detay odak çalış,2,0
problem çözme yeteneğine sahip,problem çöz yetenek sahip,5,0
iş teslim tarihlerine uyan,iş teslim tarih uy,1,1
C# ASPNET net core entity framework MVC web API WCF SOA design patterns konularında tecrübeli,C# ASP net net core entity framework MVC web API WCF SOA design patterns konu tecrübe,1,0
nesne yönelimli programlama konusunda tecrübeli,nesne yönelim programla konu tecrübe,1,0
analitik düşünebilen çözüm odaklı öğrenmeye yeniliklere açık,analitik düşün çöz odak öğren yenilik açık,1,1
dokümantasyon sistemini yönetebilme,dokümantasyon sistem yönet,1,1
kalite verimliliğini arttırmak çalışmalar yapabilen,kalite verim arttır çalış yap,2,0
proses kontrolü saha kontrolü yapabilen,proses kontrol saha kontrol yap,1,0
APQP PPAP FMEA bilgisine sahip olan,APQP PPAP FMEA bilgi sahip olan,5,0
SPC MSA uygularına hakim olan,SPC MSA uygu hakim olan,4,0
tercihen otomotiv sektörü deneyimi olan,tercihen otomotiv sektör deney olan,4,0
tercihen iyi derecede ingilizce bilen,tercihen iyi derece ingilizce bil,1,1
üniversitelerin 4 yıllık bölümlerinden mezun,üniversite 4 yıllık bölüm mezun,1,1
UFRSTFRS raporlamasına hakim,ufrs TFRS raporla hakim,1,1
konsolidasyon raporlama tecrübesi olan,konsolidasyon raporla tecrübe olan,4,0
güçlü iletişim becerisine analitik düşünce yeteneğine sahip,güçlü iletişim beceri analitik düş yetenek sahip,5,0
iyi düzeyde ingilizce bilen,iyi düzey ingilizce bil,1,1
finans sektöründe kariyer hedefleyen,finans sektör kariyer hedefle,1,1
B sınıfı ehliyeti olan aktif düz vites araç kullanabilen,b sınıf ehliyet olan aktif düz vites araç kullan,3,0
22-30 yaşını aşmamış,22-30 yaş aş,1,1
35 yaşını aşmamış,35 yaş aş,1,1
presentabl kişisel gelişmine önem veren,presentabl kişisel gelişmine önem ver,1,1
temsil yeteneği bulunan,temsil yetenek bulun,1,1
askerlikle ilişiği bulunmayan tecilli adayların başvuruları değerlendirmeye alınmayacaktır,asker ilişik bulun tecil aday başvuru değerlendir alın,1,1
ofis ekipmanlarını bilgisayarı iyi derecede kullanabilen IFS SAP MRP içerikli bilgisayar programlarını kullanabilmek tercih sebebidir,ofis ekipman bilgisayar iyi derece kullan IFS sap MRP içerik bilgisayar program kullan tercih sebep,3,0
raporlama CRM hakkında fikir sahibi olan,raporla CRM hakkında fikir sahip olan,5,0
konyada ikamet edebilecek olan,konya ikamet et olan,0,0
analiz koordinasyon planlama yetkinliklerine sahip,analiz koordinasyon planla yetkin sahip,5,0
güler yüzlü enerjisi yüksek,gül yüz enerji yüksek,1,1
ikna kabiliyeti güçlü çözüm odaklı,ikna kabiliyet güçlü çöz odak,1,1
kişisel motivasyonu yüksek adaylar aranmaktadır,kişisel motivasyon yüksek aday aran,1,1
DCS communication center,DCS communication center,1,1
bakım onarım konusunda 3-5 yıl imalat sektöründe tecrübeli,bakı on konu 3-5 yıl imalat sektör tecrübe,1,0
sonuç odaklı iletişim becerileri kuvvetli analitik düşünebilen ekip çalışmasına yatkın,sonuç odak iletişim beceri kuvvet analitik düşün ekip çalış yatkın,2,0
eskişehirde ikamet edebilecek olan,eskişehir ikamet et olan,0,0
insan ilişkileriikna kabiliyeti planlama koordinasyon becerileri güçlü,insan ilişki ikna kabiliyet planla koordinasyon beceri güçlü,1,1
takım çalışmasına yatkın sorumluluk sahibi,tak çalış yatkın sorumluluk sahip,5,0
analitik sonuç odaklı organizasyon yapabilen,analitik sonuç odak organizasyon yap,1,0
yurt dışı seyahat engeli olmayan,yurt dış seyahat engel olmayan,1,1
B sınıfı ehliyeti olan aktif araç kullanabilen,b sınıf ehliyet olan aktif araç kullan,3,0
erkek adaylar askerlik süreçlerini tamamlamış,erkek aday asker süreç tamamla,1,1
10 yıl deneyimli,10 yıl deneyim,1,0
MS office autocad programlarına hakim,ms office autocad program hakim,1,1
temel seviyede ingilizce bilen,temel seviye ingilizce bil,1,1
aktif araç kullanabilen B sınıfı,aktif araç kullan b sınıf,3,0
maliyet analizlerinin oluşturulması raporlanmasında deneyimli,maliyet analiz oluş raporla deneyim,1,1
genel idari satınalma süreçlerine hakim,genel idari satınal süreç hakim,1,1
üniversitelerin işletme iktisat bölümlerinden mezun,üniversite işletme iktisat bölüm mezun,1,1
tercihen bankacılık deneyimi olan,tercihen banka deney olan,4,0
finansal piyasaları takip yorumlayacak teknik bilgiye sahip,finansal piyasa takip yorumla teknik bilgi sahip,5,0
ileri derecede ingilizce bilen,ileri derece ingilizce bil,1,1
tercihen logo programını bilen,tercihen logo program bil,1,1
analitik stratejik düşünme becerisi güçlü,analitik stratejik düşün beceri güçlü,1,1
takip koordinasyon organizasyon becerisi yüksek,takip koordinasyon organizasyon beceri yüksek,1,1
benzer pozisyonda 2-3 yıl arası deneyim,benzer pozisyon 2-3 yıl ara dene,1,0
alanında 5 yıl deneyimi olan,alan 5 yıl deney olan,4,0
planlama yöneticisi 5 yıl deneyim sahibi,planla yönet 5 yıl dene sahip,5,0
MS office netsis programlarını kullanabilen,ms office netsis program kullan,3,0
ERP MRP sistemleri uygulamaları konusunda tecrübeli,ERP MRP sistem uygula konu tecrübe,1,0
sistem gelişim ihtiyaçlarını saptayıp,sistem gelişim ihtiyaç sapta,1,1
yazılım gelişimi desteklenerek,yazılı gelişim destekle,1,1
sistem bütünlüğü yönetimini yapabilecek,sistem bütün yönetim yap,1,0
takım çalışmasına uyumlu problem çözme iletişim becerisi yüksek planlama takip yönü kuvvetli kadrosunda bulunan beyaz mavi yaka çalışanları yönetebilecek uyumlu,tak çalış uyum problem çöz iletişim beceri yüksek planla takip yön kuvvet kadro bulun beyaz mavi yak çalış yönet uyum,2,0
müşterilerle iletişim kurup,müşteri iletişim kur,1,1
işbirliği geliştirebilecek,işbirliği geliştir,1,1
asenkron programlama konusunda tecrübeli,asenkron programla konu tecrübe,1,0
SOLID  DI araçları konuları benimsemiş,SOLID DI araç konu benimse,1,0
yazdığı kodun testlerini yazmadan işi bitirmeyen,yaz kod test yaz iş bitir,1,1
gerektiğinde yoğun çalışma temposuna ayak uydurabilecek,gerek yoğun çalış tempo ay uydur,2,0
mevcut yazılımlardaki revizyon taleplerinin gerçekleştirilmesi,mevcut yazılım revizyon talep gerçek,1,1
